id	docentId	name	photo	role	dept	SSID	CV	OrcID	pubLink	pubId
0E9341	Error									
10506956	Error									
10307947	307947	Amoruso Giuseppe	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=402023&__pj0=0&__pj1=5d68ce2bf4a5c3d6be0d0202a20e3e1b	Professore associato a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno		https://orcid.org/0000-0001-7821-4517	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp02447	rp02447
10256766	256766	Andreoni Giuseppe	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=401413&__pj0=0&__pj1=fad155c2b67db7e502e80935e2034e6d	Professore associato a tempo pieno	Dipartimento di Design	ING-INF/06 - Bioingegneria Elettronica E Informatica		https://orcid.org/0000-0002-5537-4128	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp06094	rp06094
10257363	257363	Anselmi Laura	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=2981164&__pj0=0&__pj1=2af2c60af5596f0cf669ccb91c049cd1	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_downloadcv=evento&id_cv=2981141&rnd=0.3119893763553817	https://orcid.org/0000-0002-6149-2382	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp07067	rp07067
10257727	257727	Anzani Anna	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=3022648&__pj0=0&__pj1=ebbe845da6a653c00e6a121188a52a22	Professore associato a tempo pieno	Dipartimento di Design	ICAR/19 - Restauro	/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_downloadcv=evento&id_cv=1113357&rnd=0.2930210719545171	https://orcid.org/0000-0002-4265-1720	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp07076	rp07076
10005601	5601	Arquilla Venanzio	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=7738414&__pj0=0&__pj1=ee4c15c7de19f3582575fb290636068e	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale		https://orcid.org/0000-0003-1626-0221	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp07123	rp07123
10007010	Error									
861663	Error									
10009553	9553	Barbara Anna	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=995620&__pj0=0&__pj1=6a2784905434d43fd3d67d69cd820a46	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/14 - Composizione Architettonica E Urbana	/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_downloadcv=evento&id_cv=3343214&rnd=0.47028997993246946	https://orcid.org/0000-0002-9265-7290	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp16753	rp16753
10448071	Error									
10001365	1365	Baule Giovanni	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=2179684&__pj0=0&__pj1=53a66d6ef30a9efd29deea878f9e1b57	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale		https://orcid.org/0000-0002-6728-8059	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp07984	rp07984
10015916	15916	Bertola Paola	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=4658513&__pj0=0&__pj1=f45b24fe2cf2b4d6bb7c2cb8d7c0ff9f	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale		https://orcid.org/0000-0003-1522-4077	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp08052	rp08052
10004531	4531	Bertolo Maresa	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=401422&__pj0=0&__pj1=46964d28792c969a5a0c3b08a3f93abc	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale		https://orcid.org/0000-0002-1846-7739	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp08060	rp08060
10185609	Error									
10017096	17096	Biamonti Alessandro	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=892468&__pj0=0&__pj1=be1443de7f227006b193d35f9ee662c5	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_downloadcv=evento&id_cv=6995704&rnd=0.5671524297446028	https://orcid.org/0000-0002-4725-2032	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp17669	rp17669
10017825	17825	Bianchini Massimo	https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_getfoto=evento&id_foto=3935578&__pj0=0&__pj1=28e09ccdcd726ede85c3683251bafcbd	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_downloadcv=evento&id_cv=3395970&rnd=0.6665394470489439	https://orcid.org/0000-0003-1438-4976	https://re.public.polimi.it/browse?type=author&sort_by=2&order=DESC&rpp=50&authority=rp20554	rp20554
871275	Error									
