Torino;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;-0;moplen; Natta;http://hdl.handle.net/11311/240029;2005;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista (EX RV - Articoli);-0;IL GIORNALE DELL'ARCHITETTURA;Il moplen e i suoi fratelli;-0;1;Allemandi;ROGNOLI, VALENTINA;nazionale
dc.publisher.place;dc.type.referee;dc.publisher.country;item.collection;item.openaireRights;dc.subject.keywordsita;dc.language.iso;dc.subject.keywords;dc.identifier.uri;dc.date.issued;dc.type.full;dc.relation.ispartofbook;item.journal.title;dc.title;dc.relation.medium;dc.description.numberofauthors;dc.publisher.name;dc.authority.people;dc.type.circulation;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;Design, Innovazione sociale, Prodotto, Emergenza,;http://hdl.handle.net/11311/1018221;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN;Nuvole in viaggio;STAMPA;1;-0;BIAMONTI, ALESSANDRO;-0
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1000251;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NAUTECH;The digital craftsman;STAMPA;1;-0;CECONELLO, MAURO ATTILIO;-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;Architectural perspective, Interior decoration, Anamorphosis;http://hdl.handle.net/11311/1000307;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NEXUS NETWORK JOURNAL;Architectural Perspective Between Image and Building;STAMPA;1;-0;ROSSI, MICHELA;-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1000313;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;JOURNAL OF THE INTERNATIONAL COLOUR ASSOCIATION;Synaesthesia of colour, taste and mood: the Futuristic cuisine as a global art;ELETTRONICO;1;-0;ROSSI, MICHELA;-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;Railway accessibility;http://hdl.handle.net/11311/1000419;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;JOURNAL OF RAIL TRANSPORT PLANNING & MANAGEMENT;Road accessibility model to the rail network in emergency conditions;-0;2;-0;"BORGHETTI, FABIO;Malavasi, Gabriele";-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1002993;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;THE DESIGN JOURNAL;The Cultural Dimension of Design Driven Innovation. A Perspective from the Fashion Industry;ELETTRONICO;5;-0;"BERTOLA, PAOLA;VACCA, FEDERICA;COLOMBI, CHIARA;IANNILLI, VALERIA MARIA;Augello, Matteo";-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1003476;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ELECTRONIC NOTES IN DISCRETE MATHEMATICS;Partitioning a graph into minimum gap components;-0;2;-0;"BRUGLIERI, MAURIZIO;Cordone, Roberto";-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1003493;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;FUTURES;Drawing food trends: Design potential in shaping food future;-0;2;-0;"CELI, MANUELA;RUDKIN, JENNIFER";-0;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;"bin packing problem, variable cost and size bin packing problem, approximation; Bellman’s optimality principle, dynamic programming";http://hdl.handle.net/11311/1004183;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH;On the generalized bin packing problem;-0;2;-0;"Baldi, Mauro Maria;BRUGLIERI, MAURIZIO";-0;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;gioco, dialogo, semiotica, comunicazione, design,;http://hdl.handle.net/11311/1005156;2015;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PROGETTO GRAFICO;Il gioco dialogico nella comunicazione sociale. Schemi semiotici e casi studio;STAMPA;1;-0;ZINGALE, SALVATORE;-0;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1005163;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO;Semiotica del progetto: la via pragmatista;ELETTRONICO;1;-0;ZINGALE, SALVATORE;-0;
